File	AsrCERENCE	Label
1b_10204.wav	Schließe das Fenster beim rechten rück sitz	Schließe das Fenster beim rechten Rücksitz
1b_10207.wav	Mache das Fenster am rechten rück sitz zu	Mache das Fenster beim rechten Rücksitz zu
1b_10214.wav	Fenster des linken rück Sitzes zu machen	Fenster des linken Rücksitzes zumachen
1b_10215.wav	Schließe das Fenster beim linken rück sitz	Schließe das Fenster beim linken Rücksitz
1b_10218.wav	Mache das Fenster beim linken rück sitz zu	Mache das Fenster beim linken Rücksitz zu
1b_10219.wav	Mache das Fenster des linken rück Sitzes zu	Mache das Fenster des linken Rücksitzes zu
1b_10220.wav	Mache das Fenster für den Passagier und links zu	Mache das Fenster für den Passagier hinten links zu
1b_10227.wav	Ich möchte dass Wenzel wenig schließen lassen	Ich möchte das Fenster ein wenig schließen lassen
1b_10228.wav	Lass uns das wenn fett was zu machen	Lass uns das Fenster etwas zumachen
1b_10230.wav	Das Fenster ein wenig hoch kurbeln	Das Fenster ein wenig hochkurbeln
1b_10231.wav	Das Fenster etwas hoch Google	Das Fenster etwas hochkurbeln
1b_10232.wav	Das Fenster ein bisschen hoch kurbeln	Das Fenster ein bisschen hochkurbeln
1b_10233.wav	Fenster um 10 %	Öffne die Fenster um 10 Prozent
1b_10234.wav	Schließe die Fenster um 60 %	Schließe die Fenster um 60 Prozent
1b_10306.wav	Schalte die sitz Heizungen	Schalte die Sitzheizung ein
1b_10311.wav	Öffne die sitz Heizung einzuschalten	Hilf mir die Sitzheizung einzuschalten
1b_10314.wav	Aktiviere die sitz Heizung beim Fahrer	Aktiviere die Sitzheizung beim Fahrer
1b_10315.wav	Schalte die sitz Heizung für den Fahrer an	Schalte die Sitzheizung für den Fahrer an
1b_10316.wav	Die sitz Heizung am Fahrer aktivieren	Die Sitzheizung beim Fahrer aktivieren
1b_10317.wav	Die sitz Heizung beim Fahrer einschalten	Die Sitzheizung beim Fahrer einschalten
1b_10318.wav	Die sitz Heizung beim Fahrer anschalten	Die Sitzheizung beim Fahrer anschalten
1b_10319.wav	Die sitz Heizung finden fahre aktivieren	Die Sitzheizung für den Fahrer aktivieren
1b_10320.wav	Die sitz Heizung fünf fahre einschalten	Die Sitzheizung für den Fahrer einschalten
1b_10321.wav	Die sitz Heizung für den Fahrer anschalten	Die Sitzheizung für den Fahrer anschalten
1b_10322.wav	Fahrersitzheizung aktivieren	Die Fahrersitzheizung aktivieren
1b_10323.wav	Die Fahrer Sitzheizung einschalten	Die Fahrersitzheizung einschalten
1b_10327.wav	Die sitz Heizung beim Beifahrer aktivieren	Die Sitzheizung beim Beifahrer aktivieren
1b_10329.wav	Die sitz Heizung beim Beifahrer anschalten	Die Sitzheizung beim Beifahrer anschalten
1b_10332.wav	Die sitz Heizung für den Beifahrer anschalten	Die Sitzheizung für den Beifahrer anschalten
1b_10333.wav	Die Beifahrer Sitzheizung aktivieren	Die Beifahrersitzheizung aktivieren
1b_10334.wav	Die Beifahrer Sitzheizung einschalten	Die Beifahrersitzheizung einschalten
1b_10336.wav	Die sitz Heizung für den Fahrer ausmachen	Die Sitzheizung für den Fahrer ausmachen
1b_10337.wav	Die sitz Heizung für den Fahrer ausschalten	Die Sitzheizung für den Fahrer ausschalten
1b_10349.wav	Die sitz Lüftung für Beifahrer starten	Die Sitzlüftung für Beifahrer starten
1b_10351.wav	Sitz Lüftung für den Beifahrer aktivieren	Die Sitzlüftung für den Beifahrer aktivieren
1b_10352.wav	Öffne die sitz Lüftung vorne rechts	Öffne die Sitzlüftung vorne rechts
1b_10353.wav	Starte die sitz Lüftung von Beifahrer	Starte die Sitzlüftung vom Beifahrer
1b_10354.wav	Die sitz Lüftung für den Fahrer einschalten	Die Sitzlüftung für den Fahrer einschalten
1b_10355.wav	Sitz Lüftung beim Beifahrer aktivieren	Die Sitzlüftung beim Fahrer aktivieren
1b_10358.wav	Schalte die sitz Belüftung für den Fahrer ein	Schalte die Sitzbelüftung für Fahrer ein
1b_10360.wav	Die Beifahrer sitz Belüftung ausschalten	Die Beifahrersitzbelüftung ausschalten
1b_10363.wav	Die Sitzbelüftung beim beim Fahrer ausschalten	Die Sitzbelüftung beim Beifahrer ausschalten
1b_10364.wav	Die Beifahrer Sitzbelüftung deaktivieren	Die Beifahrersitzbelüftung deaktivieren
1b_10368.wav	Deaktiviere die Sitzbelüftung bei Beifahrer	Deaktiviere die Sitzbelüftung beim Beifahrer
1b_10371.wav	Fahrersitzbelüftung ausschalten	Die Fahrersitzbelüftung ausschalten
1b_10374.wav	Sitzbelüftung Beifahrer ausschalten	Die Sitzbelüftung beim Fahrer ausschalten
1b_10377.wav	Sitzbelüftung von links deaktivieren	Die Sitzbelüftung vorne links deaktivieren
1b_10379.wav	Deaktiviere die Sitzbelüftung am Fahrer	Deaktiviere die Sitzbelüftung beim Fahrer
1b_10381.wav	Schalte die sitz Belüftung vorne links aus	Schalte die Sitzbelüftung vorne links aus
1b_10384.wav	Auf maximale stufe von dem Ventilator drin	auf maximale Stufe von dem Ventilator drehen
1b_10386.wav	S Ventilatorstärke	höchste Ventilatorenstärke
1b_10388.wav	Geschwindigkeit Ventilator auf Minimum einstellen	die Geschwindigkeit des Ventilators auf Minimum einstellen
1b_10389.wav	Minimale stufe von dem Ventilator drehen	auf minimale Stufe von dem Ventilator drehen
1b_10391.wav	Den Lüfter stufe auf minimal einstellen	die Lüfterstufe auf minimal einstellen
1b_10394.wav	Der Ventilator fünfe drei einstellen	den Ventilator auf Stufe 3 einstellen
1b_10395.wav	Stell den Ventilator auf Stufe Eins	stelle den Ventilator auf Stufe 1
1b_10398.wav	Verringere die Belüftung auf Stufe Eins	Verringere die Belüftung auf Stufe 1
1b_10484.wav	Atmosphäre lichter ausschalten	Die Atmosphärelichter ausschalten
1b_10485.wav	Erhöhe Helligkeit der Atmosphäre lichter etwas	Erhöhe Helligkeit der Atmosphärelichter etwas
1d_10019.wav	Aci on	AC an
1d_10036.wav	Schalte die automatische Klima Regelung in der hinteren Reihe ein	Schalte die automatische Klimaregelung in der hinteren Reihe ein
1d_10037.wav	Schalte die automatische Klimaregelung in den vorderen und hinteren Fahrgastraum ein	Schalte die automatische Klimaregelung im vorderen und hinteren Fahrgastraum ein
1d_10039.wav	Schalte die automatische Klima Regelung in der ersten reihe aus	Schalte die automatische Klimaregelung in der ersten Reihe aus
1d_10040.wav	Schalte die automatische Klima Regelung in der hinteren Reihe aus	Schalte die automatische Klimaregelung in der hinteren Reihe aus
1d_10041.wav	Schalte die automatische Klima Regelung im vorderen und hinteren Fahrgastraum aus	Schalte die automatische Klimaregelung im vorderen und hinteren Fahrgastraum aus
1d_10050.wav	Ich möchte die Klima die Lage synchronisiert haben	ich möchte die Klimaanlage synchronisiert haben
1d_10060.wav	Ich will dass die Synchronisation der Klimaanlage beendet wird	ich will dass die Synchronisierung der Klimaanlage beendet wird
1d_10071.wav	Gebläsegeschwindigkeit des hinteren Fahrgasts Raum auf Stufe 3 einstellen	Gebläsegeschwindigkeit des hinteren Fahrgastraums auf Stufe 3 einstellen
1d_10080.wav	Die stufe von dem Ventilator hochdrehen	die Stufe von dem Ventilator hoch drehen
1d_10081.wav	Die Lüftung Stufe erhöhen	die Lüftungsstufe erhöhen
1d_10087.wav	Die stufe von den Ventilator niedriger drehen	die Stufe von dem Ventilator niedriger drehen
1d_10089.wav	Die Lüftung Stufe runterstellen	die Lüftungsstufe runterstellen
1d_10090.wav	Stelle die Lüftung Stufe kleiner	stelle die Lüfterstufe kleiner
1d_10092.wav	Lüfter Geschwindigkeit verringern	Lüftergeschwindigkeit verringern
1d_10094.wav	Dreh die Klimaanlage auf Kopf und Füße	drehe die Klimaanlage auf Kopf und Füße
1d_10097.wav	Klimaanlage auf Kopf und Fuß höher	Klimaanlage auf Kopf-und Fußhöhe
1d_10098.wav	Klimaanlage auf Kopf und Fuse richten	Klimaanlage auf Kopf und Füße richten
1d_10101.wav	Stelle Klimaanlage so ein dass es durch Die Lüftungsöffnungen bläst	Stelle Klimaanlage so ein dass es durch alle Lüftungsöffnungen bläst
1d_10103.wav	Schalte den Gebläse modus der Klimaanlage auf Gesichts Gebläse modus um	Schalte den Gebläsemodus der Klimaanlage auf Gesichtsgebläsemodus um
1d_10110.wav	Stelle den Lüftern Richtung Gesicht	stelle den Lüfter in Richtung Gesicht
1d_10112.wav	Könntest du mir dem Ventilator ins Gesicht blasen	könntest du mir mit dem Ventilator ins Gesicht blasen
1d_10114.wav	Bitte schalte den Gesichts Lüfter ein	bitte schalte den Gesichtslüfter ein
1d_10117.wav	Dreh die Klimaanlage auf das Gesicht	drehe die Klimaanlage auf das Gesicht
1d_10124.wav	Dreh die Klimaanlage auf die Füße	drehe die Klimaanlage auf die Füße
1d_10129.wav	Instrument Klimaanlage auf für die Füße richten	Windstrom der Klimaanlage auf die Füße richten
1d_10130.wav	Fuß Lüfter einschalten	Fußlüfter einschalten
1d_10131.wav	Ich möchte den Bund Ventilator einschalten	ich möchte den Bodenventilator einschalten
1d_10133.wav	Bitte schalte den fuß Lüfter ein	bitte schalte den Fußlüfter ein
1d_10136.wav	Öffne den fuß Ventilator	öffne den Fußventilator
1d_10137.wav	Poste mit dem Ventilator zu meinen Füßen	Puste mit dem Ventilator zu meinen Füßen
1d_10138.wav	Öffne bitte den äußersten Lust gar Kreis	öffne bitte den äußeren Luftkreislauf
1d_10141.wav	Aktiviere externe zu Collation	aktiviere externe Zirkulation
1d_10147.wav	Schalte die entferne lüfterzirkulation ein	schalte die externe Luftzirkulation ein
1d_10155.wav	Interne Luftzirkulation einschalten	Luftzirkulation einschalten
1d_10156.wav	Schalte die inneren und Luft um Long an	schalte die innere Rundumlüftung an
1d_10157.wav	Aktiviere sie den inneren lüftungskreislauf	aktivieren Sie den inneren Lüftungskreislauf
1d_10158.wav	Öffne die innere Nation Collation	öffne die innere Zirkulation
1d_10160.wav	Internet Zirkulation an	interne Zirkulation an
1d_10162.wav	Aktiviere den Reiniger	Stelle die Innenraumtemperatur vorne auf 15 Grad ein
1d_10165.wav	Ich möchte die Navigationslautstärke steigern	Drehe die Temperatur des Beifahrersitzes auf 31 Grad
1d_10178.wav	Ich möchte das Fahrer Fenster aufmachen	Ich möchte das Fahrerfenster aufmachen
1d_10181.wav	Mach das Fahrer Fenster auf	Mach das Fahrerfenster auf
1d_10187.wav	Mache das Fenster vorne Dings auf	Mache das Fenster vorne links auf
1d_10188.wav	Ich möchte das Beifahrer Fenster aufmachen	Ich möchte das Beifahrerfenster aufmachen
1d_10189.wav	Ich möchte das Beifahrer Fenster öffnen	Ich möchte das Beifahrerfenster öffnen
1d_10191.wav	Öffne das Fenster bei dem Beifahrer	Öffne das Fenster für den Beifahrer
1d_10192.wav	Mach das Beifahrer Fenster auf	Mach das Beifahrerfenster auf
1d_10193.wav	Bitte das Beifahrer Fenster aufmachen	bitte das Beifahrerfenster aufmachen
1d_10203.wav	Fenster des rechten Rücksitzes zu machen	Fenster des rechten Rücksitzes zumachen
1d_10213.wav	Fenster des linken rück sitz schließen	Fenster des linken Rücksitzes schließen
1d_10214.wav	Fenster des linken rück Sitzes zu machen	Fenster des linken Rücksitzes zumachen
1d_10215.wav	Schließe das Fenster beim linken rück sitz	Schließe das Fenster beim linken Rücksitz
1d_10216.wav	Schließe das Fenster des linken rück Seite ist	Schließe das Fenster des linken Rücksitzes
1d_10219.wav	Mache das Fenster des linken rück Sitzes zu	Mache das Fenster des linken Rücksitzes zu
1d_10220.wav	Mache das Fenster für den Passagier hinten den zu	Mache das Fenster für den Passagier hinten links zu
1d_10228.wav	Lass uns das Fenster etwas zu machen	Lass uns das Fenster etwas zumachen
1d_10230.wav	Das Fenster ein wenig hoch kurbeln	Das Fenster ein wenig hochkurbeln
1d_10231.wav	Das Fenster etwas hoch kurbeln	Das Fenster etwas hochkurbeln
1d_10232.wav	Das Fenster ein bisschen hoch kurbeln	Das Fenster ein bisschen hochkurbeln
1d_10233.wav	Öffne die Fenster um 10 %	Öffne die Fenster um 10 Prozent
1d_10234.wav	Schließe die Fenster um 60 %	Schließe die Fenster um 60 Prozent
1d_10316.wav	Die sitz Heizung beim Fahrer aktivieren	Die Sitzheizung beim Fahrer aktivieren
1d_10317.wav	Die sitz Heizung beim Fahrer einschalten	Die Sitzheizung beim Fahrer einschalten
1d_10318.wav	Die sitz Heizung beim Fahrer anschalten	Die Sitzheizung beim Fahrer anschalten
1d_10319.wav	Die sitz Heizung für den Fahrer aktivieren	Die Sitzheizung für den Fahrer aktivieren
1d_10320.wav	Die sitz Heizung für den Fahrer einschalten	Die Sitzheizung für den Fahrer einschalten
1d_10321.wav	Diese Zeitung für den Fahrer anschalten	Die Sitzheizung für den Fahrer anschalten
1d_10322.wav	Die Fahrer Sitzheizung aktivieren	Die Fahrersitzheizung aktivieren
1d_10323.wav	Die Fahrer Sitzheizung einschalten	Die Fahrersitzheizung einschalten
1d_10324.wav	Schalte die sitz Heizung beim Beifahrer ein	Schalte die Sitzheizung beim Beifahrer ein
1d_10325.wav	Aktiviere diese Zeit zum beim Beifahrer	Aktiviere die Sitzheizung beim Beifahrer
1d_10327.wav	Die sitz Heizung beim Beifahrer aktivieren	Die Sitzheizung beim Beifahrer aktivieren
1d_10328.wav	Diese Zahl von beim Beifahrer einschalten	Die Sitzheizung beim Beifahrer einschalten
1d_10331.wav	Die sitz Heizung für den Beifahrer einschalten	Die Sitzheizung für den Beifahrer einschalten
1d_10333.wav	Die Beifahrer Sitzheizung aktivieren	Die Beifahrersitzheizung aktivieren
1d_10334.wav	Die Beifahrer Sitzheizung einschalten	Die Beifahrersitzheizung einschalten
1d_10336.wav	Die sitz Heizung für den Fahrer ausmachen	Die Sitzheizung für den Fahrer ausmachen
1d_10337.wav	Diese Zeitung für den Fahrer ausschalten	Die Sitzheizung für den Fahrer ausschalten
1d_10338.wav	Schließe diese Zeitung für den Fahrer	Schließe die Sitzheizung für den Fahrer
1d_10349.wav	Die sitz Lüftung für Beifahrer starten	Die Sitzlüftung für Beifahrer starten
1d_10351.wav	Die sitz Lüftung für den Beifahrer aktivieren	Die Sitzlüftung für den Beifahrer aktivieren
1d_10352.wav	Öffne die sitz Lüftung vorne rechts	Öffne die Sitzlüftung vorne rechts
1d_10353.wav	Starte die sitz Lüftung vom Beifahrer	Starte die Sitzlüftung vom Beifahrer
1d_10354.wav	Die sitz Lüftung für den Fahrer einschalten	Die Sitzlüftung für den Fahrer einschalten
1d_10355.wav	Die sitz Lüftung beim Fahrer aktivieren	Die Sitzlüftung beim Fahrer aktivieren
1d_10360.wav	Die Beifahrer sitz Belüftung ausschalten	Die Beifahrersitzbelüftung ausschalten
1d_10364.wav	Die Beifahrer Sitzbelüftung deaktivieren	Die Beifahrersitzbelüftung deaktivieren
1d_10375.wav	Audio Wiedergabe fortsetzen	Die Fahrersitzbelüftung deaktivieren
1d_10386.wav	Willst du Ventilatorstärke	höchste Ventilatorenstärke
1d_10391.wav	Die Lüfter Stufe auf minimal einstellen	die Lüfterstufe auf minimal einstellen
1d_10393.wav	Sitzbelüftung auf Stufe einstellen	Sitzbelüftung auf Stufe 1 stellen
1d_10395.wav	Stelle den Ventilator auf Stufe Eins	stelle den Ventilator auf Stufe 1
1d_10398.wav	Verringere die Belüftung auf Stufe Eins	Verringere die Belüftung auf Stufe 1
1d_10484.wav	Die Atmosphäre lichter ausschalten	Die Atmosphärelichter ausschalten
1d_10485.wav	Erhöhe Helligkeit Irak muss Verl ich da etwas	Erhöhe Helligkeit der Atmosphärelichter etwas
1e_10012.wav	Mach die Klimaanlage an	mache die Klimaanlage an
1e_10016.wav	Mach die Klimatisierung an	mache die Klimatisierung an
1e_10030.wav	Schalte die Klimatisierung auf	schalte die Klimatisierung aus
1e_10037.wav	Schalte die automatische Klima Regelung im vorderen und hinteren Fahrgastraum ein	Schalte die automatische Klimaregelung im vorderen und hinteren Fahrgastraum ein
1e_10038.wav	Schalte die Klima Automatik für das gesamte Fahrzeug ein	Schalte die Klimaautomatik für das gesamte Fahrzeug ein
1e_10039.wav	Schalte die automatische Klima Regelung in der ersten Reihe aus	Schalte die automatische Klimaregelung in der ersten Reihe aus
1e_10040.wav	Schalte die automatische Klima Regelung in der hinteren Reihe aus	Schalte die automatische Klimaregelung in der hinteren Reihe aus
1e_10041.wav	Schalte die automatische Klima Regelung im vorderen und hinteren Fahrgastraum aus	Schalte die automatische Klimaregelung im vorderen und hinteren Fahrgastraum aus
1e_10067.wav	Hintere Innenraum auf minimale Temperatur	Hinterer Innenraum auf minimale Temperatur
1e_10079.wav	Die Geschwindigkeit des Ventilators zu hören	die Geschwindigkeit des Ventilators erhöhen
1e_10080.wav	Die stufe von den Ventilator hochdrehen	die Stufe von dem Ventilator hoch drehen
1e_10081.wav	Die lüftungsstufe schön	die Lüftungsstufe erhöhen
1e_10087.wav	Die stufe von dem Ventilator Nierika drehen	die Stufe von dem Ventilator niedriger drehen
1e_10089.wav	Die Lüftung Stufe runterstellen	die Lüftungsstufe runterstellen
1e_10090.wav	Stelle die Lüfter stufe kleiner	stelle die Lüfterstufe kleiner
1e_10091.wav	Dreh die Lüftung runter	drehe die Lüftung runter
1e_10092.wav	Lüfter Geschwindigkeit verringern	Lüftergeschwindigkeit verringern
1e_10094.wav	Dreh die Klimaanlage auf Kopf und Füße	drehe die Klimaanlage auf Kopf und Füße
1e_10097.wav	Klimaanlage auf Kopf und Fuß Höhe	Klimaanlage auf Kopf-und Fußhöhe
1e_10099.wav	Bin Sturm der Klimaanlage auf Kopf und Füße richten	Windstrom der Klimaanlage auf Kopf und Füße richten
1e_10103.wav	Schalte den Gebläse modus der Klimaanlage auf Gesichts Gebläses modus um	Schalte den Gebläsemodus der Klimaanlage auf Gesichtsgebläsemodus um
1e_10112.wav	Könntest du mir mit den Ventilator ins Gesicht blasen	könntest du mir mit dem Ventilator ins Gesicht blasen
1e_10114.wav	Bitte schalte den Gesichts Lüfter ein	bitte schalte den Gesichtslüfter ein
1e_10117.wav	Dreh die Klimaanlage auf das Gesicht	drehe die Klimaanlage auf das Gesicht
1e_10129.wav	Den strom der Klimaanlage auf die Füße richten	Windstrom der Klimaanlage auf die Füße richten
1e_10130.wav	Fuß Lüfter einschalten	Fußlüfter einschalten
1e_10133.wav	Bitte schalte den fuß Lüfter ein	bitte schalte den Fußlüfter ein
1e_10136.wav	Öffne den fuß Ventilator	öffne den Fußventilator
1e_10137.wav	Poste mit dem Ventilator zu meinen Füßen	Puste mit dem Ventilator zu meinen Füßen
1e_10138.wav	Öffne bitte den äußeren luftkreislauf	öffne bitte den äußeren Luftkreislauf
1e_10147.wav	Schalte die externe Zirkulation ein	schalte die externe Luftzirkulation ein
1e_10152.wav	Aktiviere Internet Zirkulation	aktiviere interne Zirkulation
1e_10155.wav	Interne Luftzirkulation einschalten	Luftzirkulation einschalten
1e_10162.wav	Aktiviere den Reiniger	Stelle die Innenraumtemperatur vorne auf 15 Grad ein
1e_10165.wav	Luftreiniger einschalten	Drehe die Temperatur des Beifahrersitzes auf 31 Grad
1e_10178.wav	Ich möchte dass fahr Fenster aufmachen	Ich möchte das Fahrerfenster aufmachen
1e_10179.wav	Ich möchte dass fahr Fenster öffnen	Ich möchte das Fahrerfenster öffnen
1e_10181.wav	Mach das Tan Fenster auf	Mach das Fahrerfenster auf
1e_10188.wav	Ich möchte das Beifahrer Fenster aufmachen	Ich möchte das Beifahrerfenster aufmachen
1e_10189.wav	Ich möchte das Beifahrer Fenster öffnen	Ich möchte das Beifahrerfenster öffnen
1e_10192.wav	Mach das Beifahrer Fenster auf	Mach das Beifahrerfenster auf
1e_10193.wav	Bitte das Beifahrer Fenster aufmachen	bitte das Beifahrerfenster aufmachen
1e_10203.wav	Fenster des rechten Rücksitzes zu machen	Fenster des rechten Rücksitzes zumachen
1e_10205.wav	Schließe das Fenster des rechten rück sitz	Schließe das Fenster des rechten Rücksitzes
1e_10213.wav	Fenster des linken rück sitz schließen	Fenster des linken Rücksitzes schließen
1e_10214.wav	Fenster der linken rück sitz zu machen	Fenster des linken Rücksitzes zumachen
1e_10216.wav	Schließe das Fenster den linken rück Sitzes	Schließe das Fenster des linken Rücksitzes
1e_10219.wav	Mache das Fenster des linkes Rücksitz zu	Mache das Fenster des linken Rücksitzes zu
1e_10228.wav	Lass uns das Fenster etwas zu machen	Lass uns das Fenster etwas zumachen
1e_10230.wav	Das kannst du ein wenig hoch kurbeln	Das Fenster ein wenig hochkurbeln
1e_10231.wav	Das Fenster etwas hoch kurbeln	Das Fenster etwas hochkurbeln
1e_10232.wav	Das Fenster ein bisschen hoch kurbeln	Das Fenster ein bisschen hochkurbeln
1e_10233.wav	Öffne die Fenster um 10 %	Öffne die Fenster um 10 Prozent
1e_10234.wav	Schließe die Fenster um 60 %	Schließe die Fenster um 60 Prozent
1e_10315.wav	Schalte die sitz Heizung für den Fahrer an	Schalte die Sitzheizung für den Fahrer an
1e_10316.wav	Die sitz Heizung beim Fahrer aktivieren	Die Sitzheizung beim Fahrer aktivieren
1e_10317.wav	Die Heizung beim Fahrer einschalten	Die Sitzheizung beim Fahrer einschalten
1e_10318.wav	Die sitz Heizung beim Fahrer anschalten	Die Sitzheizung beim Fahrer anschalten
1e_10319.wav	Die sitz Heizung für den Fahrer aktivieren	Die Sitzheizung für den Fahrer aktivieren
1e_10320.wav	Die sitz Heizung für den Fahrer einschalten	Die Sitzheizung für den Fahrer einschalten
1e_10321.wav	Die sitz Heizung für den Fahrer anschalten	Die Sitzheizung für den Fahrer anschalten
1e_10322.wav	Die Fahrer Sitzheizung aktivieren	Die Fahrersitzheizung aktivieren
1e_10323.wav	Die Fahrer Sitzheizung einschalten	Die Fahrersitzheizung einschalten
1e_10333.wav	Die Beifahrer Sitzheizung aktivieren	Die Beifahrersitzheizung aktivieren
1e_10334.wav	Die Beifahrer Sitzheizung einschalten	Die Beifahrersitzheizung einschalten
1e_10336.wav	Die sitz Heizung für den fahre ausmachen	Die Sitzheizung für den Fahrer ausmachen
1e_10337.wav	Die sitz Heizung für den Fahrer ausschalten	Die Sitzheizung für den Fahrer ausschalten
1e_10341.wav	Aktiviere die Massagefunktion für den Fahrer sitz	Aktiviere die Massagefunktion für den Fahrersitz
1e_10349.wav	Die sitz Lüftung für Beifahrer starten	Die Sitzlüftung für Beifahrer starten
1e_10351.wav	Die sitz Lüftung für den Beifahrer aktivieren	Die Sitzlüftung für den Beifahrer aktivieren
1e_10352.wav	Öffne die sitz Lüftung vorne rechts	Öffne die Sitzlüftung vorne rechts
1e_10353.wav	Starte die sitz Lüftung vom Beifahrer	Starte die Sitzlüftung vom Beifahrer
1e_10354.wav	Die sitz Lüftung für den Fahrer einschalten	Die Sitzlüftung für den Fahrer einschalten
1e_10355.wav	Ist doch	Die Sitzlüftung beim Fahrer aktivieren
1e_10356.wav	Sie	Öffne die Sitzlüftung für den Fahrer
1e_10358.wav	Schalte die Sitzbelüftung Fahrer ein	Schalte die Sitzbelüftung für Fahrer ein
1e_10359.wav	Lüftung für den Fahrer einschalten	Lüftung für den Fahrer anschalten
